row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
B,9,106.2,FALSE,FALSE,FALSE,0.9,7.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B9,0.8,7.965
B,9,198.9,FALSE,FALSE,FALSE,0.1,6.8,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B9,0.98,13.525200000000002
B,7,144.7,FALSE,FALSE,FALSE,0.3,6.9,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B7,0.9299999999999999,9.9843
B,9,201.3,FALSE,FALSE,FALSE,1,6.1,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B9,0.77,12.279300000000001
B,7,118.6,FALSE,FALSE,FALSE,1,6.4,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B7,0.77,7.5904
B,12,79.4,TRUE,FALSE,FALSE,NA,NA,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B12,NA,NA
B,10,166.4,FALSE,FALSE,FALSE,0.9,7.4,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B10,0.8,12.313600000000003
B,12,147.5,FALSE,FALSE,FALSE,1.1,8.4,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B12,0.75,12.39
B,7,166.6,FALSE,FALSE,FALSE,0.9,7.3,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B7,0.8,12.1618
C,2,154.3,FALSE,FALSE,FALSE,1,6.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C2,0.77,10.183800000000002
B,8,300.3,FALSE,FALSE,FALSE,1.1,6.4,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B8,0.75,19.2192
B,9,198.1,FALSE,FALSE,FALSE,1,6.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B9,0.77,13.0746
B,11,182.6,FALSE,FALSE,FALSE,1.5,7.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B11,0.6599999999999999,13.694999999999999
D,11,176.7,FALSE,FALSE,FALSE,0.9,6.2,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D11,0.8,10.9554
